strategy,time,corridor,requester,holder,winner,loser,loserWait,negotiationRounds,outcome,penalty
priority,1.76376E+12,c492,pac-man-2,pac-man-1,pac-man-1,pac-man-2,1,0,winner_by_score,1
priority,1.76376E+12,c737,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c739,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c492,pac-man-2,pac-man-1,pac-man-1,pac-man-2,1,0,winner_by_score,1
priority,1.76E+12,c737,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c739,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c492,pac-man-2,pac-man-1,pac-man-1,pac-man-2,1,0,winner_by_score,1
priority,1.76E+12,c737,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c492,pac-man-2,pac-man-1,pac-man-1,pac-man-2,1,0,winner_by_score,1
priority,1.76E+12,c737,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76376E+12,c492,pac-man-2,pac-man-1,pac-man-1,pac-man-2,1,0,winner_by_score,1
priority,1.76376E+12,c737,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c739,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c737,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
priority,1.76E+12,c492,pac-man-2,pac-man-1,pac-man-1,pac-man-2,1,0,winner_by_score,1
priority,1.76E+12,c738,pac-man-3,pac-man-1,pac-man-1,pac-man-3,1,0,winner_by_score,1
